season,team_english,team_hebrew,budget_min_million_nis,budget_max_million_nis,source_note,budget_mid_million_nis,data_source
2008/09,Maccabi Tel Aviv,מכבי תל אביב,40.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",40.0,Gemini AI Estimate (2006-2024)
2008/09,Hapoel Tel Aviv,הפועל תל אביב,25.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",32.5,Gemini AI Estimate (2006-2024)
2008/09,Rest of league,שאר הליגה,5.0,20.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",12.5,Gemini AI Estimate (2006-2024)
2009/10,Maccabi Tel Aviv,מכבי תל אביב,70.0,105.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",87.5,Gemini AI Estimate (2006-2024)
2009/10,Maccabi Haifa,מכבי חיפה,40.0,60.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",50.0,Gemini AI Estimate (2006-2024)
2009/10,Beitar Jerusalem,"בית""ר ירושלים",30.0,50.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",40.0,Gemini AI Estimate (2006-2024)
2009/10,Hapoel Tel Aviv,הפועל תל אביב,25.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",32.5,Gemini AI Estimate (2006-2024)
2009/10,Rest of league,שאר הליגה,5.0,18.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",11.5,Gemini AI Estimate (2006-2024)
2010/11,Maccabi Tel Aviv,מכבי תל אביב,105.0,105.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",105.0,Gemini AI Estimate (2006-2024)
2010/11,Hapoel Tel Aviv,הפועל תל אביב,60.0,60.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",60.0,Gemini AI Estimate (2006-2024)
2010/11,Maccabi Haifa,מכבי חיפה,40.0,60.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",50.0,Gemini AI Estimate (2006-2024)
2010/11,Beitar Jerusalem,"בית""ר ירושלים",25.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",32.5,Gemini AI Estimate (2006-2024)
2010/11,Rest of league,שאר הליגה,5.0,20.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",12.5,Gemini AI Estimate (2006-2024)
2011/12,Maccabi Tel Aviv,מכבי תל אביב,88.0,88.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",88.0,Gemini AI Estimate (2006-2024)
2011/12,Maccabi Haifa,מכבי חיפה,63.0,63.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",63.0,Gemini AI Estimate (2006-2024)
2011/12,Hapoel Tel Aviv,הפועל תל אביב,47.0,47.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",47.0,Gemini AI Estimate (2006-2024)
2011/12,Beitar Jerusalem,"בית""ר ירושלים",25.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",32.5,Gemini AI Estimate (2006-2024)
2011/12,Rest of league,שאר הליגה,5.0,18.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",11.5,Gemini AI Estimate (2006-2024)
2012/13,Maccabi Tel Aviv,מכבי תל אביב,105.0,105.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",105.0,Gemini AI Estimate (2006-2024)
2012/13,Maccabi Haifa,מכבי חיפה,60.0,70.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",65.0,Gemini AI Estimate (2006-2024)
2012/13,Hapoel Tel Aviv,הפועל תל אביב,40.0,50.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",45.0,Gemini AI Estimate (2006-2024)
2012/13,Beitar Jerusalem,"בית""ר ירושלים",25.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",32.5,Gemini AI Estimate (2006-2024)
2012/13,Kiryat Shmona / Hapoel Be'er Sheva,"קריית שמונה / הפועל ב""ש",15.0,30.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",22.5,Gemini AI Estimate (2006-2024)
2013/14,Maccabi Tel Aviv,מכבי תל אביב,130.0,130.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",130.0,Gemini AI Estimate (2006-2024)
2013/14,Maccabi Haifa,מכבי חיפה,50.0,60.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",55.0,Gemini AI Estimate (2006-2024)
2013/14,Hapoel Tel Aviv,הפועל תל אביב,40.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",40.0,Gemini AI Estimate (2006-2024)
2013/14,Beitar Jerusalem,"בית""ר ירושלים",25.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",32.5,Gemini AI Estimate (2006-2024)
2013/14,Kiryat Shmona / Hapoel Be'er Sheva,"קריית שמונה / הפועל ב""ש",20.0,35.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",27.5,Gemini AI Estimate (2006-2024)
2014/15,Maccabi Tel Aviv,מכבי תל אביב,125.0,125.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",125.0,Gemini AI Estimate (2006-2024)
2014/15,Maccabi Haifa,מכבי חיפה,84.0,84.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",84.0,Gemini AI Estimate (2006-2024)
2014/15,Hapoel Be'er Sheva,הפועל באר שבע,39.0,39.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",39.0,Gemini AI Estimate (2006-2024)
2014/15,Hapoel Tel Aviv,הפועל תל אביב,30.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",35.0,Gemini AI Estimate (2006-2024)
2014/15,Beitar Jerusalem,"בית""ר ירושלים",25.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",32.5,Gemini AI Estimate (2006-2024)
2015/16,Maccabi Tel Aviv,מכבי תל אביב,163.0,163.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",163.0,Gemini AI Estimate (2006-2024)
2015/16,Maccabi Haifa,מכבי חיפה,60.0,80.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",70.0,Gemini AI Estimate (2006-2024)
2015/16,Hapoel Be'er Sheva,הפועל באר שבע,48.0,48.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",48.0,Gemini AI Estimate (2006-2024)
2015/16,Beitar Jerusalem,"בית""ר ירושלים",35.0,45.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",40.0,Gemini AI Estimate (2006-2024)
2015/16,Hapoel Tel Aviv,הפועל תל אביב,25.0,35.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",30.0,Gemini AI Estimate (2006-2024)
2016/17,Maccabi Tel Aviv,מכבי תל אביב,163.0,163.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",163.0,Gemini AI Estimate (2006-2024)
2016/17,Hapoel Be'er Sheva,הפועל באר שבע,80.0,90.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",85.0,Gemini AI Estimate (2006-2024)
2016/17,Maccabi Haifa,מכבי חיפה,84.0,84.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",84.0,Gemini AI Estimate (2006-2024)
2016/17,Beitar Jerusalem,"בית""ר ירושלים",30.0,45.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",37.5,Gemini AI Estimate (2006-2024)
2016/17,Rest of league,שאר הליגה,5.0,25.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",15.0,Gemini AI Estimate (2006-2024)
2017/18,Maccabi Tel Aviv,מכבי תל אביב,120.0,120.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",120.0,Gemini AI Estimate (2006-2024)
2017/18,Maccabi Haifa,מכבי חיפה,90.0,90.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",90.0,Gemini AI Estimate (2006-2024)
2017/18,Hapoel Be'er Sheva,הפועל באר שבע,80.0,80.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",80.0,Gemini AI Estimate (2006-2024)
2017/18,Beitar Jerusalem,"בית""ר ירושלים",45.0,45.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",45.0,Gemini AI Estimate (2006-2024)
2017/18,Rest of league,שאר הליגה,5.0,26.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",15.5,Gemini AI Estimate (2006-2024)
2018/19,Maccabi Tel Aviv,מכבי תל אביב,180.0,180.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",180.0,Gemini AI Estimate (2006-2024)
2018/19,Maccabi Haifa,מכבי חיפה,90.0,90.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",90.0,Gemini AI Estimate (2006-2024)
2018/19,Hapoel Be'er Sheva,הפועל באר שבע,80.0,80.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",80.0,Gemini AI Estimate (2006-2024)
2018/19,Beitar Jerusalem,"בית""ר ירושלים",56.0,56.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",56.0,Gemini AI Estimate (2006-2024)
2018/19,Hapoel Tel Aviv,הפועל תל אביב,34.5,34.5,"Gemini AI estimated range from media-based table (approximate, in million NIS)",34.5,Gemini AI Estimate (2006-2024)
2019/20,Maccabi Tel Aviv,מכבי תל אביב,150.0,180.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",165.0,Gemini AI Estimate (2006-2024)
2019/20,Maccabi Haifa,מכבי חיפה,90.0,100.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",95.0,Gemini AI Estimate (2006-2024)
2019/20,Hapoel Be'er Sheva,הפועל באר שבע,60.0,80.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",70.0,Gemini AI Estimate (2006-2024)
2019/20,Beitar Jerusalem,"בית""ר ירושלים",45.0,60.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",52.5,Gemini AI Estimate (2006-2024)
2019/20,Hapoel Tel Aviv,הפועל תל אביב,30.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",35.0,Gemini AI Estimate (2006-2024)
2020/21,Maccabi Tel Aviv,מכבי תל אביב,125.0,125.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",125.0,Gemini AI Estimate (2006-2024)
2020/21,Maccabi Haifa,מכבי חיפה,84.0,84.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",84.0,Gemini AI Estimate (2006-2024)
2020/21,Hapoel Be'er Sheva,הפועל באר שבע,68.0,68.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",68.0,Gemini AI Estimate (2006-2024)
2020/21,Beitar Jerusalem,"בית""ר ירושלים",40.0,60.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",50.0,Gemini AI Estimate (2006-2024)
2020/21,Rest of league,שאר הליגה,5.0,25.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",15.0,Gemini AI Estimate (2006-2024)
2021/22,Maccabi Tel Aviv,מכבי תל אביב,110.0,110.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",110.0,Gemini AI Estimate (2006-2024)
2021/22,Maccabi Haifa,מכבי חיפה,110.0,110.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",110.0,Gemini AI Estimate (2006-2024)
2021/22,Maccabi Tel Aviv,מכבי תל אביב,100.0,100.0,Sport5,100.0,Sport5/Media (2021-2025)
2021/22,Maccabi Haifa,מכבי חיפה,90.0,90.0,Sport5,90.0,Sport5/Media (2021-2025)
2021/22,Hapoel Be'er Sheva,הפועל באר שבע,68.0,68.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",68.0,Gemini AI Estimate (2006-2024)
2021/22,Hapoel Be'er Sheva,הפועל באר שבע,65.0,70.0,Range 65–70; Sport5,67.5,Sport5/Media (2021-2025)
2021/22,Beitar Jerusalem,"בית""ר ירושלים",50.0,50.0,Sport5,50.0,Sport5/Media (2021-2025)
2021/22,Beitar Jerusalem,"בית""ר ירושלים",40.0,50.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",45.0,Gemini AI Estimate (2006-2024)
2021/22,Hapoel Tel Aviv,הפועל תל אביב,30.0,30.0,Sport5,30.0,Sport5/Media (2021-2025)
2021/22,Maccabi Petah Tikva,מכבי פתח תקווה,26.0,26.0,Sport5,26.0,Sport5/Media (2021-2025)
2021/22,Maccabi Netanya,מכבי נתניה,23.0,23.0,Sport5,23.0,Sport5/Media (2021-2025)
2021/22,Hapoel Kiryat Shmona,הפועל קריית שמונה,23.0,23.0,Sport5,23.0,Sport5/Media (2021-2025)
2021/22,Hapoel Jerusalem,הפועל ירושלים,20.0,20.0,Sport5,20.0,Sport5/Media (2021-2025)
2021/22,Hapoel Haifa,הפועל חיפה,20.0,20.0,Sport5,20.0,Sport5/Media (2021-2025)
2021/22,Bnei Sakhnin,בני סכנין,18.0,18.0,Sport5,18.0,Sport5/Media (2021-2025)
2021/22,MS Ashdod,מ.ס אשדוד,17.0,17.0,Sport5,17.0,Sport5/Media (2021-2025)
2021/22,Rest of league,שאר הליגה,5.0,26.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",15.5,Gemini AI Estimate (2006-2024)
2021/22,Hapoel Nof HaGalil,הפועל נוף הגליל,14.0,14.0,Sport5 'מאני טיים' 3.9.2021,14.0,Sport5/Media (2021-2025)
2021/22,Hapoel Hadera,הפועל חדרה,14.0,14.0,Sport5,14.0,Sport5/Media (2021-2025)
2022/23,Maccabi Tel Aviv,מכבי תל אביב,110.0,115.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",112.5,Gemini AI Estimate (2006-2024)
2022/23,Maccabi Tel Aviv,"מכבי ת""א",110.0,110.0,Sport5 'כסף קונה תארים?' 20.8.2022,110.0,Sport5/Media (2021-2025)
2022/23,Maccabi Haifa,מכבי חיפה,105.0,105.0,Sport5,105.0,Sport5/Media (2021-2025)
2022/23,Maccabi Haifa,מכבי חיפה,99.0,99.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",99.0,Gemini AI Estimate (2006-2024)
2022/23,Hapoel Be'er Sheva,הפועל באר שבע,68.0,70.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",69.0,Gemini AI Estimate (2006-2024)
2022/23,Hapoel Be'er Sheva,"הפועל ב""ש",65.0,65.0,Sport5,65.0,Sport5/Media (2021-2025)
2022/23,Beitar Jerusalem,"בית""ר ירושלים",30.0,45.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",37.5,Gemini AI Estimate (2006-2024)
2022/23,Beitar Jerusalem,"בית""ר ירושלים",37.0,37.0,Includes debts; Sport5,37.0,Sport5/Media (2021-2025)
2022/23,Hapoel Tel Aviv,"הפועל ת""א",33.0,33.0,Sport5,33.0,Sport5/Media (2021-2025)
2022/23,Maccabi Netanya,מכבי נתניה,28.0,28.0,Sport5,28.0,Sport5/Media (2021-2025)
2022/23,Hapoel Haifa,הפועל חיפה,25.0,25.0,Sport5,25.0,Sport5/Media (2021-2025)
2022/23,Ironi Kiryat Shmona,"עירוני ק""ש",24.0,24.0,Sport5,24.0,Sport5/Media (2021-2025)
2022/23,Hapoel Jerusalem,הפועל ירושלים,20.0,20.0,6.5M of this is player wages; Sport5,20.0,Sport5/Media (2021-2025)
2022/23,Bnei Sakhnin,בני סכנין,20.0,20.0,Sport5,20.0,Sport5/Media (2021-2025)
2022/23,MS Ashdod,מ.ס. אשדוד,20.0,20.0,Sport5,20.0,Sport5/Media (2021-2025)
2022/23,Rest of league,שאר הליגה,9.0,26.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",17.5,Gemini AI Estimate (2006-2024)
2022/23,Sektzia Ness Ziona,סקציה נס ציונה,16.0,16.0,Sport5,16.0,Sport5/Media (2021-2025)
2022/23,Hapoel Hadera,הפועל חדרה,14.0,14.0,Sport5,14.0,Sport5/Media (2021-2025)
2022/23,Bnei Reineh,בני ריינה,12.0,12.0,Sport5,12.0,Sport5/Media (2021-2025)
2023/24,Maccabi Tel Aviv,"מכבי ת""א",120.0,120.0,Sport5 'כסף מדבר' 26.8.2023,120.0,Sport5/Media (2021-2025)
2023/24,Maccabi Haifa,מכבי חיפה,105.0,105.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",105.0,Gemini AI Estimate (2006-2024)
2023/24,Maccabi Tel Aviv,מכבי תל אביב,100.0,110.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",105.0,Gemini AI Estimate (2006-2024)
2023/24,Maccabi Haifa,מכבי חיפה,100.0,100.0,Sport5,100.0,Sport5/Media (2021-2025)
2023/24,Hapoel Be'er Sheva,הפועל באר שבע,60.0,70.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",65.0,Gemini AI Estimate (2006-2024)
2023/24,Hapoel Be'er Sheva,"הפועל ב""ש",65.0,65.0,Sport5,65.0,Sport5/Media (2021-2025)
2023/24,Beitar Jerusalem,"בית""ר ירושלים",51.0,51.0,Includes 15M debts; Sport5,51.0,Sport5/Media (2021-2025)
2023/24,Beitar Jerusalem,"בית""ר ירושלים",30.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",35.0,Gemini AI Estimate (2006-2024)
2023/24,Maccabi Netanya,מכבי נתניה,30.0,30.0,Sport5,30.0,Sport5/Media (2021-2025)
2023/24,Hapoel Tel Aviv,"הפועל ת""א",30.0,30.0,Sport5,30.0,Sport5/Media (2021-2025)
2023/24,Maccabi Petah Tikva,"מכבי פ""ת",28.0,28.0,Includes youth department; Sport5,28.0,Sport5/Media (2021-2025)
2023/24,MS Ashdod,מ.ס. אשדוד,25.0,25.0,Sport5,25.0,Sport5/Media (2021-2025)
2023/24,Hapoel Haifa,הפועל חיפה,22.0,22.0,Sport5 (club claimed higher),22.0,Sport5/Media (2021-2025)
2023/24,Hapoel Jerusalem,הפועל ירושלים,22.0,22.0,Sport5,22.0,Sport5/Media (2021-2025)
2023/24,Hapoel Petah Tikva,"הפועל פ""ת",22.0,22.0,Sport5,22.0,Sport5/Media (2021-2025)
2023/24,Bnei Sakhnin,בני סכנין,19.0,19.0,Sport5,19.0,Sport5/Media (2021-2025)
2023/24,Hapoel Hadera,הפועל חדרה,18.0,18.0,Sport5,18.0,Sport5/Media (2021-2025)
2023/24,Rest of league,שאר הליגה,6.0,29.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",17.5,Gemini AI Estimate (2006-2024)
2023/24,Bnei Reineh,בני ריינה,13.5,13.5,Sport5,13.5,Sport5/Media (2021-2025)
2024/25,Maccabi Tel Aviv,"מכבי ת""א",120.0,120.0,Sport5 'ליגת הכסף' 24.8.2024,120.0,Sport5/Media (2021-2025)
2024/25,Maccabi Haifa,מכבי חיפה,105.0,110.0,Range 105–110; Sport5,107.5,Sport5/Media (2021-2025)
2024/25,Hapoel Be'er Sheva,"הפועל ב""ש",70.0,70.0,Sport5,70.0,Sport5/Media (2021-2025)
2024/25,Beitar Jerusalem,"בית""ר ירושלים",51.0,51.0,Includes past debts; Sport5,51.0,Sport5/Media (2021-2025)
2024/25,Hapoel Jerusalem,הפועל ירושלים,33.0,33.0,Includes women & youth; Sport5,33.0,Sport5/Media (2021-2025)
2024/25,Maccabi Netanya,מכבי נתניה,31.0,31.0,Sport5,31.0,Sport5/Media (2021-2025)
2024/25,Hapoel Haifa,הפועל חיפה,29.0,29.0,Includes youth department; Sport5,29.0,Sport5/Media (2021-2025)
2024/25,Maccabi Petah Tikva,"מכבי פ""ת",26.0,26.0,Includes youth department; Sport5,26.0,Sport5/Media (2021-2025)
2024/25,Hapoel Hadera,הפועל חדרה,22.0,22.0,Sport5,22.0,Sport5/Media (2021-2025)
2024/25,Bnei Sakhnin,בני סכנין,20.5,20.5,Sport5,20.5,Sport5/Media (2021-2025)
2024/25,Ironi Kiryat Shmona,"עירוני ק""ש",20.0,20.0,Sport5,20.0,Sport5/Media (2021-2025)
2024/25,MS Ashdod,מ.ס. אשדוד,18.0,18.0,Sport5,18.0,Sport5/Media (2021-2025)
2024/25,Bnei Reineh,בני ריינה,17.0,17.0,Sport5,17.0,Sport5/Media (2021-2025)
2024/25,Ironi Tiberias,עירוני טבריה,16.0,16.0,Sport5,16.0,Sport5/Media (2021-2025)
