season,team,stadium,capacity,total_spectators,average_attendance
2011/12,Bnei Yehuda Tel Aviv,Unknown,6020,41800,2787
2011/12,Hapoel Petah Tikva,Unknown,11500,41300,2753
2011/12,FC Ashdod,Unknown,8200,37950,2530
2011/12,Hapoel Acre,Unknown,5000,34500,2300
2011/12,Maccabi Netanya,Unknown,13610,28950,1930
2011/12,Maccabi Petah Tikva,Unknown,11500,28180,1879
2011/12,Hapoel Rishon leZion,Unknown,6000,26300,1753
2011/12,Hapoel Ramat haSharon,Unknown,4300,15850,1057
2012/13,Maccabi Haifa,Unknown,30780,142500,10962
2012/13,Maccabi Tel Aviv,Unknown,29150,139900,10762
2012/13,Beitar Jerusalem,Unknown,33500,127000,9769
2012/13,Hapoel Tel Aviv,Unknown,29150,119640,9203
2012/13,Maccabi Netanya,Unknown,13610,62500,4808
2012/13,Hapoel Beer Sheva,Unknown,16126,62250,4788
2012/13,Hapoel Haifa,Unknown,30820,52400,4031
2012/13,Bnei Yehuda Tel Aviv,Unknown,6020,49000,3769
2012/13,Ihud Bnei Sakhnin,Unknown,8500,33400,2569
2012/13,FC Ashdod,Unknown,8200,32500,2500
2012/13,Hapoel Acre,Unknown,5000,26650,2050
2012/13,Hapoel Ramat Gan,Unknown,41583,25750,1981
2012/13,Ironi Kiryat Shmona,Unknown,13800,25000,1923
2012/13,Hapoel Ramat haSharon,Unknown,4300,18450,1419
2013/14,Maccabi Tel Aviv,Unknown,29150,165948,12765
2013/14,Hapoel Tel Aviv,Unknown,29150,132393,10184
2013/14,Maccabi Haifa,Unknown,30780,124700,9592
2013/14,Beitar Jerusalem,Unknown,33500,119040,9920
2013/14,Hapoel Beer Sheva,Unknown,16126,99000,7615
2013/14,Bnei Yehuda Tel Aviv,Unknown,6020,62400,4800
2013/14,Ihud Bnei Sakhnin,Unknown,8500,49800,3831
2013/14,Hapoel Haifa,Unknown,30820,49750,4146
2013/14,Maccabi Petah Tikva,Unknown,11500,37500,2885
2013/14,Hapoel Acre,Unknown,5000,33000,3000
2013/14,FC Ashdod,Unknown,8200,32050,2465
2013/14,Ironi Kiryat Shmona,Unknown,13800,26250,2019
2013/14,Hapoel Raanana,Unknown,5800,23250,1788
2013/14,Hapoel Ramat haSharon,Unknown,4300,15700,1208
2014/15,Maccabi Haifa,Unknown,30780,306588,23584
2014/15,Maccabi Tel Aviv,Unknown,29150,168293,12946
2014/15,Hapoel Beer Sheva,Unknown,16126,96000,7385
2014/15,Beitar Jerusalem,Unknown,33500,95200,11900
2014/15,Hapoel Tel Aviv,Unknown,29150,41250,10313
2014/15,Maccabi Netanya,Unknown,13610,37700,7540
2014/15,Hapoel Petah Tikva,Unknown,11500,36650,5236
2014/15,Hapoel Haifa,Unknown,30820,34330,8583
2014/15,Hapoel Acre,Unknown,5000,26800,3350
2014/15,Maccabi Petah Tikva,Unknown,11500,24616,4103
2014/15,FC Ashdod,Unknown,8200,23360,2920
2014/15,Hapoel Raanana,Unknown,5800,18750,2083
2014/15,Ihud Bnei Sakhnin,Unknown,8500,14400,2880
2014/15,Ironi Kiryat Shmona,Unknown,13800,12000,4000
2015/16,Maccabi Haifa,Unknown,30780,269079,20698
2015/16,Hapoel Beer Sheva,Unknown,16126,195000,15000
2015/16,Maccabi Tel Aviv,Unknown,29150,150555,11581
2015/16,Beitar Jerusalem,Unknown,33500,127900,9838
2015/16,Hapoel Tel Aviv,Unknown,29150,126323,9717
2015/16,Hapoel Haifa,Unknown,30820,60240,4634
2015/16,Maccabi Netanya,Unknown,13610,60150,4627
2015/16,Bnei Yehuda Tel Aviv,Unknown,6020,55300,4254
2015/16,Maccabi Petah Tikva,Unknown,11500,52950,4073
2015/16,Ihud Bnei Sakhnin,Unknown,8500,37100,2854
2015/16,Hapoel Kfar Saba,Unknown,5800,35200,2708
2015/16,Hapoel Raanana,Unknown,5800,27650,2127
2015/16,Hapoel Acre,Unknown,5000,26650,2050
2015/16,Ironi Kiryat Shmona,Unknown,13800,23400,1800
2016/17,Maccabi Haifa,Unknown,30780,284587,21891
2016/17,Hapoel Beer Sheva,Unknown,16126,188072,14467
2016/17,Maccabi Tel Aviv,Unknown,29150,123871,9529
2016/17,Beitar Jerusalem,Unknown,33500,106500,8192
2016/17,Hapoel Tel Aviv,Unknown,29150,102700,7900
2016/17,Hapoel Haifa,Unknown,30820,63700,4900
2016/17,Maccabi Petah Tikva,Unknown,11500,44850,3450
2016/17,Bnei Yehuda Tel Aviv,Unknown,6020,43050,3312
2016/17,Ihud Bnei Sakhnin,Unknown,8500,42000,3231
2016/17,Hapoel Ashkelon,Unknown,10000,36210,2785
2016/17,FC Ashdod,Unknown,8200,32000,2462
2016/17,Hapoel Kfar Saba,Unknown,5800,29920,2302
2016/17,Hapoel Raanana,Unknown,5800,22550,1735
2016/17,Ironi Kiryat Shmona,Unknown,13800,19390,1492
2017/18,Maccabi Haifa,Unknown,30780,219239,16865
2017/18,Hapoel Beer Sheva,Unknown,16126,187657,14435
2017/18,Beitar Jerusalem,Unknown,33500,140495,12772
2017/18,Maccabi Tel Aviv,Unknown,29150,130689,10053
2017/18,Maccabi Netanya,Unknown,13610,89698,6900
2017/18,Hapoel Haifa,Unknown,30820,89505,6885
2017/18,Bnei Yehuda Tel Aviv,Unknown,6020,48450,3727
2017/18,Maccabi Petah Tikva,Unknown,11500,33970,2613
2017/18,Hapoel Ashkelon,Unknown,10000,33770,2598
2017/18,FC Ashdod,Unknown,8200,26500,2038
2017/18,Hapoel Acre,Unknown,5000,22400,1723
2017/18,Hapoel Raanana,Unknown,5800,21926,1687
2017/18,Ihud Bnei Sakhnin,Unknown,8500,17950,1381
2017/18,Ironi Kiryat Shmona,Unknown,13800,17230,1325
2018/19,Maccabi Haifa,Unknown,30780,218465,16805
2018/19,Hapoel Beer Sheva,Unknown,16126,177841,13680
2018/19,Beitar Jerusalem,Unknown,33500,153233,11787
2018/19,Maccabi Tel Aviv,Unknown,29150,134446,10342
2018/19,Hapoel Tel Aviv,Unknown,29150,84259,6481
2018/19,Hapoel Haifa,Unknown,30820,80536,6195
2018/19,Maccabi Netanya,Unknown,13610,75870,5836
2018/19,Hapoel Hadera,Unknown,3000,42850,3296
2018/19,Bnei Yehuda Tel Aviv,Unknown,6020,42650,3281
2018/19,Maccabi Petah Tikva,Unknown,11500,38500,2962
2018/19,FC Ashdod,Unknown,8200,25660,1974
2018/19,Hapoel Raanana,Unknown,5800,24101,1854
2018/19,Ihud Bnei Sakhnin,Unknown,8500,22210,2019
2018/19,Ironi Kiryat Shmona,Unknown,13800,21660,1666
2019/20,Maccabi Tel Aviv,Unknown,29150,274485,21114
2019/20,Maccabi Haifa,Unknown,30780,268579,20660
2019/20,Hapoel Tel Aviv,Unknown,29150,149456,11497
2019/20,Beitar Jerusalem,Unknown,33500,144566,11120
2019/20,Hapoel Beer Sheva,Unknown,16126,137980,10614
2019/20,Maccabi Netanya,Unknown,13610,72987,5614
2019/20,Hapoel Haifa,Unknown,30820,68392,5261
2019/20,Bnei Yehuda Tel Aviv,Unknown,6020,48568,3736
2019/20,Hapoel Kfar Saba,Unknown,5800,34610,2662
2019/20,Sekzia Ness Ziona,Unknown,3500,33994,2615
2019/20,Hapoel Raanana,Unknown,5800,33453,2573
2019/20,Hapoel Hadera,Unknown,3000,31265,2405
2019/20,FC Ashdod,Unknown,8200,27873,2144
2019/20,Ironi Kiryat Shmona,Unknown,13800,19201,1477
2020/21,Maccabi Tel Aviv,Unknown,29150,5000,5000
2020/21,Maccabi Haifa,Unknown,30780,5000,5000
2020/21,Hapoel Beer Sheva,Unknown,16126,4000,4000
2020/21,Hapoel Tel Aviv,Unknown,29150,1500,1500
2020/21,Maccabi Petah Tikva,Unknown,11500,1500,1500
2020/21,Beitar Jerusalem,Unknown,33500,1500,1500
2020/21,Bnei Yehuda Tel Aviv,Unknown,6020,1350,1350
2020/21,Ihud Bnei Sakhnin,Unknown,8500,1000,1000
2020/21,Maccabi Netanya,Unknown,13610,950,950
2020/21,FC Ashdod,Unknown,8200,940,940
2020/21,Hapoel Haifa,Unknown,30820,800,800
2020/21,Ironi Kiryat Shmona,Unknown,13800,500,500
2020/21,Hapoel Hadera,Unknown,3000,450,450
2020/21,Hapoel Kfar Saba,Unknown,5800,300,300
2021/22,Maccabi Haifa,Unknown,30780,321760,24751
2021/22,Maccabi Tel Aviv,Unknown,29150,232941,17919
2021/22,Hapoel Tel Aviv,Unknown,29150,145250,11173
2021/22,Hapoel Beer Sheva,Unknown,16126,142711,10978
2021/22,Beitar Jerusalem,Unknown,33500,108200,9017
2021/22,Maccabi Netanya,Unknown,13610,73680,5668
2021/22,Hapoel Haifa,Unknown,30820,60365,4643
2021/22,Ihud Bnei Sakhnin,Unknown,8500,47592,3661
2021/22,Hapoel Jerusalem,Unknown,33500,45604,3508
2021/22,Hapoel Hadera,Unknown,3000,37369,2875
2021/22,Maccabi Petah Tikva,Unknown,11500,36851,2835
2021/22,Hapoel Nof HaGalil,Unknown,5200,21506,1654
2021/22,FC Ashdod,Unknown,8200,20005,1539
2021/22,Ironi Kiryat Shmona,Unknown,13800,19677,1514
2022/23,Maccabi Haifa,Unknown,30780,372313,28639
2022/23,Maccabi Tel Aviv,Unknown,29150,292942,22534
2022/23,Beitar Jerusalem,Unknown,33500,175086,13468
2022/23,Hapoel Beer Sheva,Unknown,16126,164039,12618
2022/23,Hapoel Tel Aviv,Unknown,29150,116316,11632
2022/23,Maccabi Netanya,Unknown,13610,84865,7072
2022/23,Hapoel Haifa,Unknown,30820,74540,5734
2022/23,Hapoel Jerusalem,Unknown,33500,53778,4137
2022/23,Sekzia Ness Ziona,Unknown,3500,37616,2894
2022/23,Hapoel Hadera,Unknown,3000,36917,2840
2022/23,FC Ashdod,Unknown,8200,34548,2658
2022/23,Ihud Bnei Sakhnin,Unknown,8500,33196,2554
2022/23,Ironi Kiryat Shmona,Unknown,13800,32030,2464
2022/23,Maccabi Bnei Reineh,Unknown,5200,24820,1909
2023/24,Maccabi Tel Aviv,Unknown,29150,213565,17797
2023/24,Maccabi Haifa,Unknown,30780,171948,17195
2023/24,Beitar Jerusalem,Unknown,33500,144830,13166
2023/24,Hapoel Beer Sheva,Unknown,16126,122024,10169
2023/24,Hapoel Tel Aviv,Unknown,29150,101049,9186
2023/24,Maccabi Netanya,Unknown,13610,70127,5844
2023/24,Hapoel Petah Tikva,Unknown,11500,60759,5524
2023/24,Hapoel Haifa,Unknown,30820,42559,3869
2023/24,Hapoel Jerusalem,Unknown,33500,40070,3643
2023/24,Maccabi Petah Tikva,Unknown,11500,39337,3576
2023/24,Hapoel Hadera,Unknown,3000,34207,3421
2023/24,Ihud Bnei Sakhnin,Unknown,8500,24984,2271
2023/24,Maccabi Bnei Reineh,Unknown,5200,19400,1940
2023/24,FC Ashdod,Unknown,8200,16713,2089
2024/25,Maccabi Haifa,Unknown,30780,282621,23552
2024/25,Maccabi Tel Aviv,Unknown,29150,240711,20059
2024/25,Beitar Jerusalem,Unknown,33500,227307,17485
2024/25,Hapoel Beer Sheva,Unknown,16126,141328,11777
2024/25,Maccabi Netanya,Unknown,13610,68499,5708
2024/25,Hapoel Jerusalem,Unknown,33500,64510,4962
2024/25,Hapoel Haifa,Unknown,30820,43870,3656
2024/25,Maccabi Petah Tikva,Unknown,11500,41469,3456
2024/25,FC Ashdod,Unknown,8200,35800,2754
2024/25,Hapoel Hadera,Unknown,3000,24574,2234
2024/25,Ironi Kiryat Shmona,Unknown,13800,21982,1998
2024/25,Maccabi Bnei Reineh,Unknown,5200,19781,1978
2024/25,Ironi Tiberias,Unknown,5200,18074,1643
2024/25,Ihud Bnei Sakhnin,Unknown,8500,14519,1452
2025/26,Maccabi Haifa,Unknown,30780,131037,26207
2025/26,Beitar Jerusalem,Unknown,33500,108953,21791
2025/26,Maccabi Tel Aviv,Unknown,29150,95213,23803
2025/26,Hapoel Tel Aviv,Unknown,29150,72090,18023
2025/26,Hapoel Beer Sheva,Unknown,16126,54348,13587
2025/26,Hapoel Haifa,Unknown,30820,35488,8872
2025/26,Maccabi Netanya,Unknown,13610,29706,7427
2025/26,Hapoel Petah Tikva,Unknown,11500,24407,4881
2025/26,Maccabi Bnei Reineh,Unknown,5200,15075,3015
2025/26,FC Ashdod,Unknown,8200,11731,2346
2025/26,Hapoel Jerusalem,Unknown,33500,11006,2752
2025/26,Ironi Tiberias,Unknown,5200,10844,2711
2025/26,Ihud Bnei Sakhnin,Unknown,8500,9323,2331
2025/26,Ironi Kiryat Shmona,Unknown,13800,9214,1843
