season,season_year,population_reference_year,population_year,population_year_used,team_raw,club_name,city_he,city_en,settlement_code,population_total,district_he,subdistrict_he,municipal_status_he,team_attendance_raw,stadium,capacity,total_spectators,average_attendance,attendance_per_1000_residents,total_spectators_per_resident,average_attendance_pct_of_population,stadium_capacity_utilization_pct,team_budget_raw,budget_min_million_nis,budget_max_million_nis,budget_mid_million_nis,budget_min_nis,budget_max_nis,budget_mid_nis,data_source,source_note,budget_nis_per_resident,budget_million_nis_per_100k_residents,attendance_per_budget_million,total_spectators_per_budget_million,predicted_population_model,residual_population_model,residual_pct_population_model,predicted_budget_model,residual_budget_model,residual_pct_budget_model,predicted_market_budget_model,residual_market_budget_model,residual_pct_market_budget_model
2009/10,2009,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,62500,4167,14.026383199307938,0.21037891767620498,1.402638319930794,13.520441271901362,,,,,,,,,,,,,,5632.3226995479745,-1465.3226995479745,-26.01631294431292,,,,,,
2009/10,2009,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,136000,9067,30.520090345122405,0.457784524863422,3.0520090345122406,29.457439896036387,Maccabi Haifa,40.0,60.0,50.0,40000000.0,60000000.0,50000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",168.30313414096398,16.8303134140964,181.34,2720.0,5632.3226995479745,3434.6773004520255,60.98154320468318,8364.900360731146,702.0996392688539,8.393401104511016,8187.542282034441,879.4577179655589,10.741412840032764
2009/10,2009,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,95000,6333,6.030561319276942,0.09046318100920725,0.6030561319276941,18.904477611940298,Beitar Jerusalem,30.0,50.0,40.0,30000000.0,50000000.0,40000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",38.089760424929366,3.8089760424929366,158.325,2375.0,11624.773787155538,-5291.773787155538,-45.52152053919993,7391.650445285386,-1058.650445285386,-14.322247150643125,8142.592069801884,-1809.5920698018836,-22.223783953429862
2009/10,2009,2024,2024,2024,M. Ahi Nazareth,Maccabi Ahi Nazareth,נצרת,Nazareth,7300,75704.0,הצפון,,עירייה,Maccabi Ahi Nazareth,Unknown,4932,18550,1237,16.339955616612066,0.24503328754094897,1.6339955616612067,25.081103000811027,,,,,,,,,,,,,,3870.725035959195,-2633.725035959195,-68.04216294083875,,,,,,
2009/10,2009,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,38000,2533,10.787353286884827,0.1618315929339216,1.0787353286884827,18.61131520940485,,,,,,,,,,,,,,5136.808454252184,-2603.8084542521838,-50.68922614968804,,,,,,
2009/10,2009,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,44300,3164,93.81486093814861,1.3135266559924095,9.38148609381486,37.22352941176471,,,,,,,,,,,,,,3536.6899796885923,-372.6899796885923,-10.53781874659559,,,,,,
2009/10,2009,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,11055,737,13.93616216625066,0.20904243249375992,1.393616216625066,14.74,,,,,,,,,,,,,,3689.1375381247303,-2952.1375381247303,-80.02243092366155,,,,,,
2009/10,2009,2024,2024,2024,H. Petah Tikva,Hapoel Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Hapoel Petah Tikva,Unknown,11500,36900,2460,9.09753220193563,0.13646298302903445,0.909753220193563,21.391304347826086,,,,,,,,,,,,,,5420.019700326961,-2960.0197003269614,-54.61271109675854,,,,,,
2009/10,2009,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,24600,1640,6.065021467957086,0.09097532201935629,0.6065021467957087,14.26086956521739,,,,,,,,,,,,,,5420.019700326961,-3780.0197003269614,-69.74180739783903,,,,,,
2009/10,2009,2024,2024,2024,H. Ramat Gan,Hapoel Ramat Gan,רמת גן,Ramat Gan,8600,172242.0,תל אביב,,עירייה,Hapoel Ramat Gan,Unknown,41583,24350,1623,9.422788866826906,0.14137086192682388,0.9422788866826907,3.9030372988961837,,,,,,,,,,,,,,4638.914951206501,-3015.9149512065014,-65.01337021542321,,,,,,
2009/10,2009,2024,2024,2024,Hapoel Raanana,Hapoel Raanana,רעננה,Raanana,8700,82963.0,המרכז,פתח תקווה,עירייה,Hapoel Raanana,Unknown,5800,17500,1167,14.06651157745019,0.21093740583151524,1.406651157745019,20.120689655172413,,,,,,,,,,,,,,3928.4876848102194,-2761.4876848102194,-70.29391222194002,,,,,,
2009/10,2009,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,46500,3100,6.263891695291978,0.09395837542937967,0.6263891695291979,51.49501661129568,,,,,,,,,,,,,,7206.428486538347,-4106.428486538347,-56.98285210502235,,,,,,
2009/10,2009,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,156000,10400,21.014346332592442,0.31521519498888667,2.1014346332592444,35.67753001715266,Hapoel Tel Aviv,25.0,40.0,32.5,25000000.0,40000000.0,32500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",65.66983228935139,6.566983228935138,320.0,4800.0,7206.428486538347,3193.571513461653,44.31559293798952,6661.713008701065,3738.2869912989354,56.11600179137477,6750.690699458544,3649.3093005414557,54.05830992722208
2009/10,2009,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,131000,8733,17.645989088704788,0.2646999393816933,1.7645989088704788,29.958833619210978,Maccabi Tel Aviv,70.0,105.0,87.5,70000000.0,105000000.0,87500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",176.8033946251768,17.68033946251768,99.80571428571429,1497.142857142857,7206.428486538347,1526.571513461653,21.183468569948317,12014.587543652753,-3281.587543652753,-27.313359961211482,12020.403777956075,-3287.403777956075,-27.348530371207367
2010/11,2010,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,12000,4000,17.500721904778572,0.05250216571433572,1.7500721904778571,48.78048780487805,,,,,,,,,,,,,,5087.074805634067,-1087.0748056340672,-21.369349718036457,,,,,,
2010/11,2010,2024,2024,2024,H. Ashkelon,Hapoel Ashkelon,אשקלון,Ashkelon,7100,166865.0,הדרום,אשקלון,עירייה,Hapoel Ashkelon,Unknown,10000,5000,1667,9.990111766997272,0.029964342432505318,0.9990111766997273,16.669999999999998,,,,,,,,,,,,,,4596.128098627365,-2929.128098627365,-63.73034075142836,,,,,,
2010/11,2010,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,10000,5000,22.362659725297085,0.04472531945059417,2.2362659725297087,31.005829095870023,,,,,,,,,,,,,,5047.486821334047,-47.48682133404691,-0.940801294088296,,,,,,
2010/11,2010,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,25000,6250,21.037891767620497,0.08415156707048199,2.10378917676205,20.27903958468527,,,,,,,,,,,,,,5632.3226995479745,617.6773004520255,10.966653251270522,,,,,,
2010/11,2010,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,139500,9300,31.3043829502193,0.4695657442532895,3.13043829502193,30.214424951267056,Maccabi Haifa,40.0,60.0,50.0,40000000.0,60000000.0,50000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",168.30313414096398,16.8303134140964,186.0,2790.0,5632.3226995479745,3667.6773004520255,65.11838003789053,8364.900360731146,935.0996392688539,11.178849704637967,8187.542282034441,1112.457717965559,13.587199670486896
2010/11,2010,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,23500,7833,7.458927335211793,0.022377734249646,0.7458927335211794,23.382089552238806,Beitar Jerusalem,25.0,40.0,32.5,25000000.0,40000000.0,32500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",30.94793034525511,3.0947930345255115,241.01538461538462,723.0769230769231,11624.773787155538,-3791.7737871555382,-32.618043641805315,6661.713008701065,1171.2869912989354,17.58236942613832,7423.994831824948,409.00516817505195,5.509232932406437
2010/11,2010,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,11000,3667,15.616748718123436,0.04684598742824046,1.5616748718123437,26.943423952975753,,,,,,,,,,,,,,5136.808454252184,-1469.8084542521838,-28.613261859812884,,,,,,
