Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2023/24,11/05/24,7,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,0:1,0,1,29842,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/4320973
2023/24,18/05/24,8,Championship Round,Ihud Bnei Sakhnin,Maccabi Haifa,1:2,1,2,2500,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-haifa/index/spielbericht/4320974
2023/24,18/05/24,8,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,3:0,3,0,25180,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/4320975
2023/24,18/05/24,8,Championship Round,Maccabi Bnei Reineh,Hapoel Haifa,0:1,0,1,800,https://www.transfermarkt.com/maccabi-bnei-reineh_hapoel-haifa/index/spielbericht/4320976
2023/24,21/05/24,9,Championship Round,Maccabi Bnei Reineh,Ihud Bnei Sakhnin,2:2,2,2,980,https://www.transfermarkt.com/maccabi-bnei-reineh_ihud-bnei-sakhnin/index/spielbericht/4320977
2023/24,21/05/24,9,Championship Round,Hapoel Haifa,Maccabi Tel Aviv,0:3,0,3,6834,https://www.transfermarkt.com/hapoel-haifa_maccabi-tel-aviv/index/spielbericht/4320978
2023/24,21/05/24,9,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,1:4,1,4,9675,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/4320979
2023/24,25/05/24,10,Championship Round,Ihud Bnei Sakhnin,Hapoel Beer Sheva,4:1,4,1,1500,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-beer-sheva/index/spielbericht/4320991
2023/24,25/05/24,10,Championship Round,Maccabi Haifa,Hapoel Haifa,0:2,0,2,25140,https://www.transfermarkt.com/maccabi-haifa_hapoel-haifa/index/spielbericht/4320992
2023/24,25/05/24,10,Championship Round,Maccabi Tel Aviv,Maccabi Bnei Reineh,2:0,2,0,21145,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-bnei-reineh/index/spielbericht/4320993
2023/24,30/03/24,1,Relegation Round,Hapoel Hadera,Hapoel Petah Tikva,1:1,1,1,1938,https://www.transfermarkt.com/hapoel-hadera_hapoel-petah-tikva/index/spielbericht/4318980
2023/24,30/03/24,1,Relegation Round,Maccabi Petah Tikva,FC Ashdod,0:1,0,1,1009,https://www.transfermarkt.com/maccabi-petah-tikva_fc-ashdod/index/spielbericht/4318981
2023/24,31/03/24,1,Relegation Round,Maccabi Netanya,Beitar Jerusalem,0:3,0,3,9301,https://www.transfermarkt.com/maccabi-netanya_beitar-jerusalem/index/spielbericht/4318982
2023/24,01/04/24,1,Relegation Round,Hapoel Jerusalem,Hapoel Tel Aviv,2:0,2,0,2590,https://www.transfermarkt.com/hapoel-jerusalem_hapoel-tel-aviv/index/spielbericht/4318983
2023/24,13/04/24,2,Relegation Round,Beitar Jerusalem,Hapoel Hadera,0:1,0,1,15000,https://www.transfermarkt.com/beitar-jerusalem_hapoel-hadera/index/spielbericht/4320994
2023/24,13/04/24,2,Relegation Round,Hapoel Tel Aviv,Hapoel Petah Tikva,1:1,1,1,9928,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-petah-tikva/index/spielbericht/4320995
2023/24,14/04/24,2,Relegation Round,Hapoel Jerusalem,Maccabi Petah Tikva,2:0,2,0,0,https://www.transfermarkt.com/hapoel-jerusalem_maccabi-petah-tikva/index/spielbericht/4320996
2023/24,14/04/24,2,Relegation Round,FC Ashdod,Maccabi Netanya,0:0,0,0,0,https://www.transfermarkt.com/fc-ashdod_maccabi-netanya/index/spielbericht/4320997
2023/24,20/04/24,3,Relegation Round,Maccabi Netanya,Hapoel Jerusalem,1:0,1,0,4399,https://www.transfermarkt.com/maccabi-netanya_hapoel-jerusalem/index/spielbericht/4321009
2023/24,20/04/24,3,Relegation Round,Maccabi Petah Tikva,Hapoel Tel Aviv,4:2,4,2,4290,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-tel-aviv/index/spielbericht/4321008
2023/24,21/04/24,3,Relegation Round,Hapoel Hadera,FC Ashdod,2:2,2,2,700,https://www.transfermarkt.com/hapoel-hadera_fc-ashdod/index/spielbericht/4321010
2023/24,21/04/24,3,Relegation Round,Hapoel Petah Tikva,Beitar Jerusalem,0:2,0,2,8560,https://www.transfermarkt.com/hapoel-petah-tikva_beitar-jerusalem/index/spielbericht/4321011
2023/24,27/04/24,4,Relegation Round,Hapoel Jerusalem,Hapoel Hadera,2:1,2,1,1200,https://www.transfermarkt.com/hapoel-jerusalem_hapoel-hadera/index/spielbericht/4321014
2023/24,27/04/24,4,Relegation Round,Maccabi Petah Tikva,Maccabi Netanya,0:2,0,2,1791,https://www.transfermarkt.com/maccabi-petah-tikva_maccabi-netanya/index/spielbericht/4321015
2023/24,27/04/24,4,Relegation Round,FC Ashdod,Hapoel Petah Tikva,1:0,1,0,2072,https://www.transfermarkt.com/fc-ashdod_hapoel-petah-tikva/index/spielbericht/4321013
2023/24,27/04/24,4,Relegation Round,Hapoel Tel Aviv,Beitar Jerusalem,1:5,1,5,17800,https://www.transfermarkt.com/hapoel-tel-aviv_beitar-jerusalem/index/spielbericht/4321012
2023/24,04/05/24,5,Relegation Round,Maccabi Netanya,Hapoel Tel Aviv,0:1,0,1,9816,https://www.transfermarkt.com/maccabi-netanya_hapoel-tel-aviv/index/spielbericht/4321016
2023/24,04/05/24,5,Relegation Round,Hapoel Petah Tikva,Hapoel Jerusalem,1:0,1,0,1620,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-jerusalem/index/spielbericht/4321018
2023/24,06/05/24,5,Relegation Round,Hapoel Hadera,Maccabi Petah Tikva,0:4,0,4,1280,https://www.transfermarkt.com/hapoel-hadera_maccabi-petah-tikva/index/spielbericht/4321017
2023/24,06/05/24,5,Relegation Round,Beitar Jerusalem,FC Ashdod,0:0,0,0,11591,https://www.transfermarkt.com/beitar-jerusalem_fc-ashdod/index/spielbericht/4321019
2023/24,11/05/24,6,Relegation Round,Hapoel Tel Aviv,FC Ashdod,0:2,0,2,25179,https://www.transfermarkt.com/hapoel-tel-aviv_fc-ashdod/index/spielbericht/4321020
2023/24,11/05/24,6,Relegation Round,Hapoel Jerusalem,Beitar Jerusalem,3:0,3,0,11753,https://www.transfermarkt.com/hapoel-jerusalem_beitar-jerusalem/index/spielbericht/4321021
2023/24,11/05/24,6,Relegation Round,Maccabi Petah Tikva,Hapoel Petah Tikva,4:1,4,1,2205,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-petah-tikva/index/spielbericht/4321022
2023/24,11/05/24,6,Relegation Round,Maccabi Netanya,Hapoel Hadera,1:2,1,2,3600,https://www.transfermarkt.com/maccabi-netanya_hapoel-hadera/index/spielbericht/4321023
2023/24,18/05/24,7,Relegation Round,Hapoel Hadera,Hapoel Tel Aviv,0:1,0,1,1100,https://www.transfermarkt.com/hapoel-hadera_hapoel-tel-aviv/index/spielbericht/4321024
2023/24,18/05/24,7,Relegation Round,FC Ashdod,Hapoel Jerusalem,3:1,3,1,1620,https://www.transfermarkt.com/fc-ashdod_hapoel-jerusalem/index/spielbericht/4321027
2023/24,19/05/24,7,Relegation Round,Hapoel Petah Tikva,Maccabi Netanya,1:3,1,3,948,https://www.transfermarkt.com/hapoel-petah-tikva_maccabi-netanya/index/spielbericht/4321025
2023/24,20/05/24,7,Relegation Round,Beitar Jerusalem,Maccabi Petah Tikva,1:1,1,1,10500,https://www.transfermarkt.com/beitar-jerusalem_maccabi-petah-tikva/index/spielbericht/4321026
