Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2017/18,12/05/18,8,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,0:1,0,1,15855,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/3046287
2017/18,15/05/18,9,Championship Round,Hapoel Haifa,Hapoel Beer Sheva,1:4,1,4,0,https://www.transfermarkt.com/hapoel-haifa_hapoel-beer-sheva/index/spielbericht/3046444
2017/18,15/05/18,9,Championship Round,Maccabi Tel Aviv,Beitar Jerusalem,3:1,3,1,6595,https://www.transfermarkt.com/maccabi-tel-aviv_beitar-jerusalem/index/spielbericht/3046445
2017/18,16/05/18,9,Championship Round,Maccabi Netanya,Bnei Yehuda Tel Aviv,0:5,0,5,3250,https://www.transfermarkt.com/maccabi-netanya_bnei-yehuda-tel-aviv/index/spielbericht/3046446
2017/18,21/05/18,10,Championship Round,Beitar Jerusalem,Hapoel Haifa,1:1,1,1,500,https://www.transfermarkt.com/beitar-jerusalem_hapoel-haifa/index/spielbericht/3045171
2017/18,21/05/18,10,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,0:2,0,2,2400,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-tel-aviv/index/spielbericht/3046447
2017/18,21/05/18,10,Championship Round,Hapoel Beer Sheva,Maccabi Netanya,6:1,6,1,13817,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-netanya/index/spielbericht/3046448
2017/18,17/03/18,1,Relegation Round,Maccabi Haifa,Hapoel Acre,4:0,4,0,6892,https://www.transfermarkt.com/maccabi-haifa_hapoel-acre/index/spielbericht/3040004
2017/18,17/03/18,1,Relegation Round,Ironi Kiryat Shmona,Hapoel Ashkelon,1:1,1,1,400,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-ashkelon/index/spielbericht/3040005
2017/18,17/03/18,1,Relegation Round,Ihud Bnei Sakhnin,FC Ashdod,2:1,2,1,2500,https://www.transfermarkt.com/ihud-bnei-sakhnin_fc-ashdod/index/spielbericht/3040006
2017/18,18/03/18,1,Relegation Round,Maccabi Petah Tikva,Hapoel Raanana,1:3,1,3,775,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-raanana/index/spielbericht/3040007
2017/18,07/04/18,2,Relegation Round,Maccabi Petah Tikva,Ironi Kiryat Shmona,2:0,2,0,1000,https://www.transfermarkt.com/maccabi-petah-tikva_ironi-kiryat-shmona/index/spielbericht/3040008
2017/18,07/04/18,2,Relegation Round,Hapoel Raanana,Hapoel Acre,1:1,1,1,250,https://www.transfermarkt.com/hapoel-raanana_hapoel-acre/index/spielbericht/3040009
2017/18,07/04/18,2,Relegation Round,Hapoel Ashkelon,Ihud Bnei Sakhnin,2:0,2,0,1100,https://www.transfermarkt.com/hapoel-ashkelon_ihud-bnei-sakhnin/index/spielbericht/3040010
2017/18,07/04/18,2,Relegation Round,FC Ashdod,Maccabi Haifa,2:1,2,1,1500,https://www.transfermarkt.com/fc-ashdod_maccabi-haifa/index/spielbericht/3040011
2017/18,14/04/18,3,Relegation Round,Ironi Kiryat Shmona,Hapoel Raanana,0:1,0,1,275,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-raanana/index/spielbericht/3040012
2017/18,14/04/18,3,Relegation Round,Hapoel Acre,FC Ashdod,1:1,1,1,250,https://www.transfermarkt.com/hapoel-acre_fc-ashdod/index/spielbericht/3040013
2017/18,14/04/18,3,Relegation Round,Maccabi Haifa,Hapoel Ashkelon,2:1,2,1,7314,https://www.transfermarkt.com/maccabi-haifa_hapoel-ashkelon/index/spielbericht/3040014
2017/18,15/04/18,3,Relegation Round,Ihud Bnei Sakhnin,Maccabi Petah Tikva,2:2,2,2,1200,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-petah-tikva/index/spielbericht/3040015
2017/18,21/04/18,4,Relegation Round,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,2:0,2,0,150,https://www.transfermarkt.com/ironi-kiryat-shmona_ihud-bnei-sakhnin/index/spielbericht/3040016
2017/18,21/04/18,4,Relegation Round,Maccabi Petah Tikva,Maccabi Haifa,0:1,0,1,2500,https://www.transfermarkt.com/maccabi-petah-tikva_maccabi-haifa/index/spielbericht/3040017
2017/18,21/04/18,4,Relegation Round,Hapoel Ashkelon,Hapoel Acre,0:2,0,2,2400,https://www.transfermarkt.com/hapoel-ashkelon_hapoel-acre/index/spielbericht/3040018
2017/18,23/04/18,4,Relegation Round,Hapoel Raanana,FC Ashdod,1:0,1,0,300,https://www.transfermarkt.com/hapoel-raanana_fc-ashdod/index/spielbericht/3040019
2017/18,28/04/18,5,Relegation Round,Hapoel Acre,Maccabi Petah Tikva,2:1,2,1,200,https://www.transfermarkt.com/hapoel-acre_maccabi-petah-tikva/index/spielbericht/3040020
2017/18,28/04/18,5,Relegation Round,Maccabi Haifa,Ironi Kiryat Shmona,1:2,1,2,8211,https://www.transfermarkt.com/maccabi-haifa_ironi-kiryat-shmona/index/spielbericht/3040021
2017/18,28/04/18,5,Relegation Round,Ihud Bnei Sakhnin,Hapoel Raanana,1:3,1,3,600,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-raanana/index/spielbericht/3040022
2017/18,29/04/18,5,Relegation Round,FC Ashdod,Hapoel Ashkelon,1:0,1,0,2300,https://www.transfermarkt.com/fc-ashdod_hapoel-ashkelon/index/spielbericht/3040023
2017/18,05/05/18,6,Relegation Round,Ironi Kiryat Shmona,Hapoel Acre,4:0,4,0,410,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-acre/index/spielbericht/3040024
2017/18,05/05/18,6,Relegation Round,Ihud Bnei Sakhnin,Maccabi Haifa,1:1,1,1,600,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-haifa/index/spielbericht/3040025
2017/18,06/05/18,6,Relegation Round,Hapoel Raanana,Hapoel Ashkelon,4:0,4,0,150,https://www.transfermarkt.com/hapoel-raanana_hapoel-ashkelon/index/spielbericht/3040026
2017/18,06/05/18,6,Relegation Round,Maccabi Petah Tikva,FC Ashdod,2:1,2,1,600,https://www.transfermarkt.com/maccabi-petah-tikva_fc-ashdod/index/spielbericht/3040027
2017/18,13/05/18,7,Relegation Round,Maccabi Haifa,Hapoel Raanana,2:0,2,0,5098,https://www.transfermarkt.com/maccabi-haifa_hapoel-raanana/index/spielbericht/3040028
2017/18,13/05/18,7,Relegation Round,Hapoel Acre,Ihud Bnei Sakhnin,1:2,1,2,0,https://www.transfermarkt.com/hapoel-acre_ihud-bnei-sakhnin/index/spielbericht/3040029
2017/18,13/05/18,7,Relegation Round,FC Ashdod,Ironi Kiryat Shmona,1:2,1,2,0,https://www.transfermarkt.com/fc-ashdod_ironi-kiryat-shmona/index/spielbericht/3040030
2017/18,13/05/18,7,Relegation Round,Hapoel Ashkelon,Maccabi Petah Tikva,0:2,0,2,0,https://www.transfermarkt.com/hapoel-ashkelon_maccabi-petah-tikva/index/spielbericht/3040031
