Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2018/19,08/04/19,3,Relegation Round,Hapoel Tel Aviv,Beitar Jerusalem,1:2,1,2,8000,https://www.transfermarkt.com/hapoel-tel-aviv_beitar-jerusalem/index/spielbericht/3167239
2018/19,13/04/19,4,Relegation Round,Hapoel Haifa,Hapoel Raanana,0:2,0,2,2340,https://www.transfermarkt.com/hapoel-haifa_hapoel-raanana/index/spielbericht/3167245
2018/19,13/04/19,4,Relegation Round,Hapoel Tel Aviv,Ironi Kiryat Shmona,2:2,2,2,4500,https://www.transfermarkt.com/hapoel-tel-aviv_ironi-kiryat-shmona/index/spielbericht/3167246
2018/19,13/04/19,4,Relegation Round,FC Ashdod,Ihud Bnei Sakhnin,1:2,1,2,500,https://www.transfermarkt.com/fc-ashdod_ihud-bnei-sakhnin/index/spielbericht/3167244
2018/19,13/04/19,4,Relegation Round,Beitar Jerusalem,Maccabi Petah Tikva,4:1,4,1,5000,https://www.transfermarkt.com/beitar-jerusalem_maccabi-petah-tikva/index/spielbericht/3167243
2018/19,27/04/19,5,Relegation Round,Ironi Kiryat Shmona,Beitar Jerusalem,0:1,0,1,667,https://www.transfermarkt.com/ironi-kiryat-shmona_beitar-jerusalem/index/spielbericht/3167249
2018/19,27/04/19,5,Relegation Round,Hapoel Raanana,Hapoel Tel Aviv,2:1,2,1,1500,https://www.transfermarkt.com/hapoel-raanana_hapoel-tel-aviv/index/spielbericht/3167250
2018/19,27/04/19,5,Relegation Round,Ihud Bnei Sakhnin,Hapoel Haifa,1:2,1,2,1150,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-haifa/index/spielbericht/3167251
2018/19,27/04/19,5,Relegation Round,Maccabi Petah Tikva,FC Ashdod,0:3,0,3,700,https://www.transfermarkt.com/maccabi-petah-tikva_fc-ashdod/index/spielbericht/3167252
2018/19,04/05/19,6,Relegation Round,Beitar Jerusalem,FC Ashdod,2:3,2,3,15000,https://www.transfermarkt.com/beitar-jerusalem_fc-ashdod/index/spielbericht/3167253
2018/19,04/05/19,6,Relegation Round,Hapoel Haifa,Maccabi Petah Tikva,0:3,0,3,2430,https://www.transfermarkt.com/hapoel-haifa_maccabi-petah-tikva/index/spielbericht/3167254
2018/19,04/05/19,6,Relegation Round,Hapoel Tel Aviv,Ihud Bnei Sakhnin,3:0,3,0,4600,https://www.transfermarkt.com/hapoel-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/3167255
2018/19,04/05/19,6,Relegation Round,Ironi Kiryat Shmona,Hapoel Raanana,0:0,0,0,1315,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-raanana/index/spielbericht/3167256
2018/19,11/05/19,7,Relegation Round,Hapoel Raanana,Beitar Jerusalem,1:2,1,2,1200,https://www.transfermarkt.com/hapoel-raanana_beitar-jerusalem/index/spielbericht/3167257
2018/19,12/05/19,7,Relegation Round,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,0:2,0,2,200,https://www.transfermarkt.com/ihud-bnei-sakhnin_ironi-kiryat-shmona/index/spielbericht/3167258
2018/19,12/05/19,7,Relegation Round,Maccabi Petah Tikva,Hapoel Tel Aviv,0:2,0,2,2500,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-tel-aviv/index/spielbericht/3167259
2018/19,12/05/19,7,Relegation Round,FC Ashdod,Hapoel Haifa,1:0,1,0,2200,https://www.transfermarkt.com/fc-ashdod_hapoel-haifa/index/spielbericht/3167260
