Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2013/14,03/05/14,7,Championship Round,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,2:0,2,0,0,https://www.transfermarkt.com/ironi-kiryat-shmona_ihud-bnei-sakhnin/index/spielbericht/2455111
2013/14,03/05/14,7,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,1:2,1,2,10500,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/2455110
2013/14,10/05/14,8,Championship Round,Hapoel Tel Aviv,Hapoel Beer Sheva,1:2,1,2,11000,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-beer-sheva/index/spielbericht/2455113
2013/14,10/05/14,8,Championship Round,Ihud Bnei Sakhnin,Maccabi Haifa,0:2,0,2,1500,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-haifa/index/spielbericht/2455115
2013/14,11/05/14,8,Championship Round,Maccabi Tel Aviv,Ironi Kiryat Shmona,3:1,3,1,12789,https://www.transfermarkt.com/maccabi-tel-aviv_ironi-kiryat-shmona/index/spielbericht/2455114
2013/14,13/05/14,9,Championship Round,Ihud Bnei Sakhnin,Hapoel Tel Aviv,1:3,1,3,1000,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-tel-aviv/index/spielbericht/2455118
2013/14,14/05/14,9,Championship Round,Ironi Kiryat Shmona,Hapoel Beer Sheva,3:0,3,0,1500,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-beer-sheva/index/spielbericht/2455116
2013/14,14/05/14,9,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,2:2,2,2,15000,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/2455117
2013/14,17/05/14,10,Championship Round,Hapoel Tel Aviv,Ironi Kiryat Shmona,4:2,4,2,4000,https://www.transfermarkt.com/hapoel-tel-aviv_ironi-kiryat-shmona/index/spielbericht/2455119
2013/14,17/05/14,10,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,1:1,1,1,3500,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/2455120
2013/14,17/05/14,10,Championship Round,Maccabi Tel Aviv,Ihud Bnei Sakhnin,4:1,4,1,7826,https://www.transfermarkt.com/maccabi-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/2455121
2013/14,29/03/14,1,Relegation Round,Hapoel Acre,Hapoel Raanana,1:1,1,1,0,https://www.transfermarkt.com/hapoel-acre_hapoel-raanana/index/spielbericht/2449948
2013/14,29/03/14,1,Relegation Round,FC Ashdod,Hapoel Ramat haSharon,0:1,0,1,0,https://www.transfermarkt.com/fc-ashdod_hapoel-ramat-hasharon/index/spielbericht/2449947
2013/14,29/03/14,1,Relegation Round,Hapoel Haifa,Bnei Yehuda Tel Aviv,0:1,0,1,1500,https://www.transfermarkt.com/hapoel-haifa_bnei-yehuda-tel-aviv/index/spielbericht/2449949
2013/14,30/03/14,1,Relegation Round,Beitar Jerusalem,Maccabi Petah Tikva,3:0,3,0,1500,https://www.transfermarkt.com/beitar-jerusalem_maccabi-petah-tikva/index/spielbericht/2449950
2013/14,05/04/14,2,Relegation Round,FC Ashdod,Hapoel Haifa,4:1,4,1,0,https://www.transfermarkt.com/fc-ashdod_hapoel-haifa/index/spielbericht/2449951
2013/14,05/04/14,2,Relegation Round,Maccabi Petah Tikva,Hapoel Acre,0:0,0,0,0,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-acre/index/spielbericht/2449953
2013/14,05/04/14,2,Relegation Round,Hapoel Ramat haSharon,Hapoel Raanana,0:0,0,0,0,https://www.transfermarkt.com/hapoel-ramat-hasharon_hapoel-raanana/index/spielbericht/2449954
2013/14,06/04/14,2,Relegation Round,Bnei Yehuda Tel Aviv,Beitar Jerusalem,1:0,1,0,4700,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_beitar-jerusalem/index/spielbericht/2449952
2013/14,12/04/14,3,Relegation Round,Hapoel Haifa,Hapoel Ramat haSharon,0:1,0,1,0,https://www.transfermarkt.com/hapoel-haifa_hapoel-ramat-hasharon/index/spielbericht/2449955
2013/14,12/04/14,3,Relegation Round,Hapoel Acre,Bnei Yehuda Tel Aviv,1:1,1,1,2000,https://www.transfermarkt.com/hapoel-acre_bnei-yehuda-tel-aviv/index/spielbericht/2449957
2013/14,12/04/14,3,Relegation Round,Hapoel Raanana,Maccabi Petah Tikva,4:2,4,2,0,https://www.transfermarkt.com/hapoel-raanana_maccabi-petah-tikva/index/spielbericht/2449958
2013/14,13/04/14,3,Relegation Round,Beitar Jerusalem,FC Ashdod,1:0,1,0,1000,https://www.transfermarkt.com/beitar-jerusalem_fc-ashdod/index/spielbericht/2449956
2013/14,19/04/14,4,Relegation Round,Bnei Yehuda Tel Aviv,Hapoel Raanana,1:3,1,3,0,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_hapoel-raanana/index/spielbericht/2449961
2013/14,19/04/14,4,Relegation Round,Hapoel Ramat haSharon,Maccabi Petah Tikva,4:1,4,1,0,https://www.transfermarkt.com/hapoel-ramat-hasharon_maccabi-petah-tikva/index/spielbericht/2449962
2013/14,19/04/14,4,Relegation Round,FC Ashdod,Hapoel Acre,1:0,1,0,0,https://www.transfermarkt.com/fc-ashdod_hapoel-acre/index/spielbericht/2449960
2013/14,21/04/14,4,Relegation Round,Hapoel Haifa,Beitar Jerusalem,1:0,1,0,0,https://www.transfermarkt.com/hapoel-haifa_beitar-jerusalem/index/spielbericht/2449959
2013/14,26/04/14,5,Relegation Round,Beitar Jerusalem,Hapoel Ramat haSharon,4:0,4,0,800,https://www.transfermarkt.com/beitar-jerusalem_hapoel-ramat-hasharon/index/spielbericht/2455122
2013/14,26/04/14,5,Relegation Round,Hapoel Acre,Hapoel Haifa,1:0,1,0,2000,https://www.transfermarkt.com/hapoel-acre_hapoel-haifa/index/spielbericht/2455123
2013/14,26/04/14,5,Relegation Round,Hapoel Raanana,FC Ashdod,1:1,1,1,0,https://www.transfermarkt.com/hapoel-raanana_fc-ashdod/index/spielbericht/2455124
2013/14,26/04/14,5,Relegation Round,Maccabi Petah Tikva,Bnei Yehuda Tel Aviv,1:0,1,0,3500,https://www.transfermarkt.com/maccabi-petah-tikva_bnei-yehuda-tel-aviv/index/spielbericht/2455125
2013/14,03/05/14,6,Relegation Round,Beitar Jerusalem,Hapoel Acre,0:2,0,2,850,https://www.transfermarkt.com/beitar-jerusalem_hapoel-acre/index/spielbericht/2455126
2013/14,03/05/14,6,Relegation Round,FC Ashdod,Maccabi Petah Tikva,0:5,0,5,450,https://www.transfermarkt.com/fc-ashdod_maccabi-petah-tikva/index/spielbericht/2455128
2013/14,03/05/14,6,Relegation Round,Hapoel Ramat haSharon,Bnei Yehuda Tel Aviv,0:1,0,1,4500,https://www.transfermarkt.com/hapoel-ramat-hasharon_bnei-yehuda-tel-aviv/index/spielbericht/2455129
2013/14,03/05/14,6,Relegation Round,Hapoel Haifa,Hapoel Raanana,0:2,0,2,0,https://www.transfermarkt.com/hapoel-haifa_hapoel-raanana/index/spielbericht/2455127
2013/14,10/05/14,7,Relegation Round,Hapoel Acre,Hapoel Ramat haSharon,1:2,1,2,0,https://www.transfermarkt.com/hapoel-acre_hapoel-ramat-hasharon/index/spielbericht/2455130
2013/14,10/05/14,7,Relegation Round,Hapoel Raanana,Beitar Jerusalem,0:2,0,2,0,https://www.transfermarkt.com/hapoel-raanana_beitar-jerusalem/index/spielbericht/2455131
2013/14,10/05/14,7,Relegation Round,Maccabi Petah Tikva,Hapoel Haifa,2:1,2,1,0,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-haifa/index/spielbericht/2455132
2013/14,10/05/14,7,Relegation Round,Bnei Yehuda Tel Aviv,FC Ashdod,1:1,1,1,10000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_fc-ashdod/index/spielbericht/2455133
