Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2014/15,02/05/15,6,Championship Round,Beitar Jerusalem,Ironi Kiryat Shmona,0:1,0,1,5930,https://www.transfermarkt.com/beitar-jerusalem_ironi-kiryat-shmona/index/spielbericht/2563854
2014/15,03/05/15,6,Championship Round,Maccabi Petah Tikva,Hapoel Beer Sheva,1:2,1,2,3500,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-beer-sheva/index/spielbericht/2563855
2014/15,04/05/15,6,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,1:1,1,1,30000,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/2563856
2014/15,09/05/15,7,Championship Round,Ironi Kiryat Shmona,Maccabi Petah Tikva,2:0,2,0,1500,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-petah-tikva/index/spielbericht/2563857
2014/15,10/05/15,7,Championship Round,Beitar Jerusalem,Maccabi Haifa,1:1,1,1,16200,https://www.transfermarkt.com/beitar-jerusalem_maccabi-haifa/index/spielbericht/2563858
2014/15,11/05/15,7,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,1:1,1,1,9000,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/2563859
2014/15,16/05/15,8,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,4:0,4,0,21000,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/2563860
2014/15,17/05/15,8,Championship Round,Maccabi Tel Aviv,Ironi Kiryat Shmona,2:1,2,1,12700,https://www.transfermarkt.com/maccabi-tel-aviv_ironi-kiryat-shmona/index/spielbericht/2563861
2014/15,18/05/15,8,Championship Round,Maccabi Petah Tikva,Beitar Jerusalem,1:2,1,2,5000,https://www.transfermarkt.com/maccabi-petah-tikva_beitar-jerusalem/index/spielbericht/2563862
2014/15,24/05/15,9,Championship Round,Ironi Kiryat Shmona,Hapoel Beer Sheva,3:1,3,1,500,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-beer-sheva/index/spielbericht/2563865
2014/15,25/05/15,9,Championship Round,Maccabi Petah Tikva,Maccabi Haifa,1:0,1,0,5000,https://www.transfermarkt.com/maccabi-petah-tikva_maccabi-haifa/index/spielbericht/2563863
2014/15,25/05/15,9,Championship Round,Beitar Jerusalem,Maccabi Tel Aviv,3:0,3,0,10000,https://www.transfermarkt.com/beitar-jerusalem_maccabi-tel-aviv/index/spielbericht/2563864
2014/15,30/05/15,10,Championship Round,Maccabi Haifa,Ironi Kiryat Shmona,4:1,4,1,13000,https://www.transfermarkt.com/maccabi-haifa_ironi-kiryat-shmona/index/spielbericht/2563866
2014/15,30/05/15,10,Championship Round,Hapoel Beer Sheva,Beitar Jerusalem,4:0,4,0,4800,https://www.transfermarkt.com/hapoel-beer-sheva_beitar-jerusalem/index/spielbericht/2563867
2014/15,01/06/15,10,Championship Round,Maccabi Tel Aviv,Maccabi Petah Tikva,0:2,0,2,11421,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-petah-tikva/index/spielbericht/2563868
2014/15,21/03/15,1,Relegation Round,Hapoel Raanana,FC Ashdod,4:0,4,0,185,https://www.transfermarkt.com/hapoel-raanana_fc-ashdod/index/spielbericht/2563869
2014/15,21/03/15,1,Relegation Round,Hapoel Tel Aviv,Hapoel Acre,2:0,2,0,8054,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-acre/index/spielbericht/2563870
2014/15,21/03/15,1,Relegation Round,Ihud Bnei Sakhnin,Hapoel Haifa,1:0,1,0,2000,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-haifa/index/spielbericht/2563871
2014/15,21/03/15,1,Relegation Round,Maccabi Netanya,Hapoel Petah Tikva,3:1,3,1,3800,https://www.transfermarkt.com/maccabi-netanya_hapoel-petah-tikva/index/spielbericht/2563872
2014/15,11/04/15,2,Relegation Round,Hapoel Haifa,Hapoel Tel Aviv,0:1,0,1,3000,https://www.transfermarkt.com/hapoel-haifa_hapoel-tel-aviv/index/spielbericht/2563873
2014/15,11/04/15,2,Relegation Round,Hapoel Raanana,Maccabi Netanya,1:2,1,2,1000,https://www.transfermarkt.com/hapoel-raanana_maccabi-netanya/index/spielbericht/2563874
2014/15,11/04/15,2,Relegation Round,FC Ashdod,Hapoel Acre,0:0,0,0,350,https://www.transfermarkt.com/fc-ashdod_hapoel-acre/index/spielbericht/2563875
2014/15,11/04/15,2,Relegation Round,Hapoel Petah Tikva,Ihud Bnei Sakhnin,2:3,2,3,2000,https://www.transfermarkt.com/hapoel-petah-tikva_ihud-bnei-sakhnin/index/spielbericht/2563876
2014/15,18/04/15,3,Relegation Round,Hapoel Tel Aviv,Hapoel Petah Tikva,1:2,1,2,8365,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-petah-tikva/index/spielbericht/2563877
2014/15,18/04/15,3,Relegation Round,Hapoel Acre,Hapoel Haifa,1:0,1,0,3500,https://www.transfermarkt.com/hapoel-acre_hapoel-haifa/index/spielbericht/2563878
2014/15,18/04/15,3,Relegation Round,Ihud Bnei Sakhnin,Hapoel Raanana,1:1,1,1,1500,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-raanana/index/spielbericht/2563879
2014/15,18/04/15,3,Relegation Round,Maccabi Netanya,FC Ashdod,0:0,0,0,3040,https://www.transfermarkt.com/maccabi-netanya_fc-ashdod/index/spielbericht/2563880
2014/15,25/04/15,4,Relegation Round,Hapoel Petah Tikva,Hapoel Acre,0:2,0,2,4500,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-acre/index/spielbericht/2563881
2014/15,25/04/15,4,Relegation Round,Hapoel Raanana,Hapoel Tel Aviv,2:2,2,2,2000,https://www.transfermarkt.com/hapoel-raanana_hapoel-tel-aviv/index/spielbericht/2563882
2014/15,25/04/15,4,Relegation Round,FC Ashdod,Hapoel Haifa,0:0,0,0,1400,https://www.transfermarkt.com/fc-ashdod_hapoel-haifa/index/spielbericht/2563883
2014/15,25/04/15,4,Relegation Round,Maccabi Netanya,Ihud Bnei Sakhnin,2:3,2,3,3000,https://www.transfermarkt.com/maccabi-netanya_ihud-bnei-sakhnin/index/spielbericht/2563884
2014/15,02/05/15,5,Relegation Round,Hapoel Tel Aviv,Maccabi Netanya,2:1,2,1,6040,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-netanya/index/spielbericht/2563885
2014/15,02/05/15,5,Relegation Round,Ihud Bnei Sakhnin,FC Ashdod,1:1,1,1,1000,https://www.transfermarkt.com/ihud-bnei-sakhnin_fc-ashdod/index/spielbericht/2563886
2014/15,02/05/15,5,Relegation Round,Hapoel Haifa,Hapoel Petah Tikva,3:2,3,2,4000,https://www.transfermarkt.com/hapoel-haifa_hapoel-petah-tikva/index/spielbericht/2563887
2014/15,02/05/15,5,Relegation Round,Hapoel Acre,Hapoel Raanana,2:0,2,0,2000,https://www.transfermarkt.com/hapoel-acre_hapoel-raanana/index/spielbericht/2563888
2014/15,09/05/15,6,Relegation Round,Ihud Bnei Sakhnin,Hapoel Tel Aviv,2:0,2,0,1500,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-tel-aviv/index/spielbericht/2563889
2014/15,09/05/15,6,Relegation Round,FC Ashdod,Hapoel Petah Tikva,2:4,2,4,1500,https://www.transfermarkt.com/fc-ashdod_hapoel-petah-tikva/index/spielbericht/2563890
2014/15,09/05/15,6,Relegation Round,Hapoel Raanana,Hapoel Haifa,1:2,1,2,1000,https://www.transfermarkt.com/hapoel-raanana_hapoel-haifa/index/spielbericht/2563891
2014/15,11/05/15,6,Relegation Round,Maccabi Netanya,Hapoel Acre,1:2,1,2,3000,https://www.transfermarkt.com/maccabi-netanya_hapoel-acre/index/spielbericht/2563892
2014/15,16/05/15,7,Relegation Round,Hapoel Petah Tikva,Hapoel Raanana,4:2,4,2,600,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-raanana/index/spielbericht/2563896
2014/15,16/05/15,7,Relegation Round,Hapoel Tel Aviv,FC Ashdod,1:0,1,0,6300,https://www.transfermarkt.com/hapoel-tel-aviv_fc-ashdod/index/spielbericht/2563893
2014/15,16/05/15,7,Relegation Round,Hapoel Acre,Ihud Bnei Sakhnin,1:0,1,0,2000,https://www.transfermarkt.com/hapoel-acre_ihud-bnei-sakhnin/index/spielbericht/2563894
2014/15,16/05/15,7,Relegation Round,Hapoel Haifa,Maccabi Netanya,0:0,0,0,6700,https://www.transfermarkt.com/hapoel-haifa_maccabi-netanya/index/spielbericht/2563895
